musicName,musicAuthor,musicOriginal,musicAlbum,playUrl,coverMediumUrl,musicId
Kulture Klub (Sped up Version),Lucy Tun,False,Kulture Klub (Sped up Version),https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oUAZzkEifRWdBTQmt15cjWgIDfCMFBOthBjm4M,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oEgt5zADVFvyCBQAem0sZagALEEhfB1DEOAuzi.jpeg,7177701170365794305
Christmas,neozilla,False,Christmas,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/o8Ttkb4n4gcZnBCMQpKDCyBQiBJeIY2XlikeUI,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/o8gANEOsmBAh5noeCDBtCsCiFAYEQEfZitwTIK.jpeg,7288944607224023042
Run Free (Original Mix),Deep Chills,False,Run Free (feat. IVIE),https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/e708233da0bd48aabcecee98b148107c,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oUJ6tm2REn7jCFPAsAQEAgBO8JAOBfDutE0fZ0.jpeg,6594233508997106433
SJAYY Not Like Us FT. Kendrick Lamar,SJAYY,True,,https://v19.tiktokcdn-us.com/b598fdf24b21fa02bbf8363e27f5d71e/670eaf05/video/tos/useast5/tos-useast5-v-27dcd7-tx/oETjlQEMIDgmQINfMrFS3zcPfNzcdUCEDB6JOj/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=NmU6M2gzaWc8Z2ZpMzZkN0BpamxyNGs5cm50cjMzZzU8NEBfMzIwXjNfNTUxLV41My4xYSNzY2VlMmQ0bW9gLS1kMS9zcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00088000&download=true,https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/97c5cd92634338f194187b23d58d793a~c5_720x720.jpeg?lk3s=a5d48078&nonce=77243&refresh_token=62e9c488aa6ff99464fccb4e33487055&x-expires=1729166400&x-signature=NqaiYkt8JJM%2FYxNl8mZkArJbQik%3D&shp=a5d48078&shcp=b59d6b55,7365545707853351722
Mega Francesita (Remix),DJ Dmonio,False,,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/274c874ce93f4905bbd17384cb30fe58,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/7c101599e21d4f388d25ae7f46f03e14.jpeg,6586528252498545409
CONCENTR888 MASHUP JOURDIN PAULINE X BUDDY X MC,PollyP,True,,https://v19.tiktokcdn-us.com/90eb72cab9658c86dbeac335daf01f9d/670eaeeb/video/tos/useast5/tos-useast5-v-27dcd7-tx/osBIgiOXBBH9XpRq5UiTweMiEBxTHEAvK4Ay8Q/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=NTU5Omk8Nzk7NjxlZGVlZ0BpM2h3b2s5cjM0cTMzZzU8NEBjMTBjNWNgNWAxNTJfNjMzYSNeL24tMmRrcGlgLS1kMS9zcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00088000&download=true,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/ea538b118075a617d7c47b5cb1fea465~c5_720x720.jpeg?lk3s=a5d48078&nonce=77139&refresh_token=29ffe9533e33e3ac9118b20635bd54ac&x-expires=1729166400&x-signature=KJ4fyICnjNyiP%2BjUExPOZJaackc%3D&shp=a5d48078&shcp=b59d6b55,7343715111485475630
Infinite,Tarik,False,Infinite,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/0c637537baa74297b9f3590caeca0de4,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/3cd11e934288459fa42cb753c7df0e9b.jpeg,6890912782472972290
number one,Casey Baer,False,number one,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/ocMtkEfDgR1BuHAFfjlZBOC7IwN6yjMPTrxutQ,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oYvNAxZp91A0WYUA10CqLZMrbiAAYBdiEEDAv.jpeg,7288537439701911553
original sound,Music Therapy,True,,https://v19.tiktokcdn-us.com/1041822e035a219e1256d546d46d7de0/670eaf07/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/oMlKkVOKSfZOBAoihyIpEnwwvhIMtALzMst9ij/?a=1233&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=0&dr=0&er=2&cd=0%7C0%7C0%7C0&br=250&bt=125&ft=GSDrKInz7Th2m8EOXq8Zmo&mime_type=audio_mpeg&qs=6&rc=Ojw4PGQ2Z2Y4ZjU4Zzw5aUBpM2U4PDs6Zm5lbDMzODU8NEBfYzYyYTZgXi8xMGEtYjEwYSM0ZjE2cjRvY2pgLS1kMS1zcw%3D%3D&vvpl=1&l=202410151204587CA043A66F338904D9AB&btag=e00090000&download=true,https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/f88e719e571305b790aeb52b9711f888.jpeg?lk3s=a5d48078&nonce=49156&refresh_token=88a65a7d55d24bcbe9444e93caee743a&x-expires=1729166400&x-signature=gsR1HSVOuGpGza39B6%2F5Xbb9ce4%3D&shp=a5d48078&shcp=b59d6b55,7254375198093921025
we fell in love in october,girl in red,False,we fell in love in october / forget her,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/7f94397055a54dfeab9fe34d07b51709,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/f8da0cc77311444bb8a9356b9d65dcca.jpeg,6711980022204205826
sail away (instrumental),lovelytheband,False,sail away (instrumental),https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/ogtASUWBAOAhi9wAOZzzoyMlaI1sFls9UfOWXc,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oAipkn0wECQm4gAtTBlD4VYAbEDZgAeokSBfvb.jpeg,7265020744325466113
Secret Getaway,Eazy & Slip.stream,False,Secret Getaway,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/owu6f7VMLID0bXA0CcLIAHGzaGFzcetwgTekgn,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/o0lCENhtCBi8rgAAsOgBfiL8iBQjfEiQZTjPyA.jpeg,7197942417050634241
Happy / Video CM / Ukulele ♬ Cooking / Family(897363),ImoKenpi-Dou,False,,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/2c044a1a032b4737bffb656746bc20a8,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/1819a7c02886446ba6840058073cf112.jpeg,6895792202622961666
"I See It, I Like It, I Want It",Shirley Ellis,False,The Clapping Song... And More,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oEFwFqemOCvmBspdEhcZRZOBQdzfYYYYt2sgQD,https://p16-sg.tiktokcdn.com/aweme/200x200/tos-alisg-v-2774/oEameCWagQALmEImBPFfBBgnqBhAZMIFZADmti.jpeg,6927481167356626946
